background_level,reader_sessions,writer_sessions,mode,clients,threads,duration_s,sampling_rate,transactions_processed,failed_transactions,latency_avg_ms,latency_stddev_ms,throughput_tps,sampled_transactions,total_log_lines,estimated_total_transactions,p50_ms,p95_ms,p99_ms,min_ms,max_ms,non_numeric_log_entries,reader_batches,writer_batches
1,1,1,off,16,8,12,0.05,38464,0,4.977,-1.0,3214.643208,1918,1918,38360,4.855,6.648,7.815,1.574,64.272,0,6,25
2,2,2,off,16,8,12,0.05,36890,0,5.19,-1.0,3082.733326,1863,1863,37260,5.059,6.696,7.775,2.485,30.21,0,11,50
4,4,4,off,16,8,12,0.05,35402,0,5.408,-1.0,2958.765085,1803,1803,36060,5.244,7.135,8.471,2.414,63.446,0,20,108
8,8,8,off,16,8,12,0.05,36912,0,5.186,-1.0,3084.93732,1856,1856,37120,5.093,7.012,8.151,2.01,45.511,0,40,227
1,1,1,local,16,8,12,0.05,92688,0,2.065,-1.0,7747.623796,4759,4759,95180,1.975,2.71,3.659,1.113,67.025,0,5,26
2,2,2,local,16,8,12,0.05,84394,0,2.268,-1.0,7053.751822,4186,4186,83720,2.024,2.884,3.906,1.106,227.224,0,10,55
4,4,4,local,16,8,12,0.05,84867,0,2.256,-1.0,7092.70062,4223,4223,84460,2.087,3.131,4.186,0.969,126.186,0,20,118
8,8,8,local,16,8,12,0.05,56038,0,3.645,-1.0,4389.328882,2799,2799,55980,2.284,3.772,6.178,1.151,453.282,0,40,247
1,1,1,on,16,8,12,0.05,79555,0,2.408,-1.0,6644.296019,3946,3946,78920,2.253,3.371,4.274,1.179,33.679,0,6,26
2,2,2,on,16,8,12,0.05,74260,0,2.578,-1.0,6206.938632,3666,3666,73320,2.267,3.514,5.176,1.191,46.509,0,11,53
4,4,4,on,16,8,12,0.05,62234,0,3.076,-1.0,5202.275948,3100,3100,62000,2.41,4.351,26.044,1.231,358.701,0,20,109
8,8,8,on,16,8,12,0.05,27581,0,7.11,-1.0,2250.221241,1397,1397,27940,2.582,6.419,191.113,1.311,731.975,0,40,192
1,1,1,remote_write,16,8,12,0.05,75147,0,2.552,-1.0,6270.727501,3669,3669,73380,2.226,3.352,5.302,1.094,90.795,0,6,26
2,2,2,remote_write,16,8,12,0.05,66289,0,2.888,-1.0,5540.027996,3244,3244,64880,2.249,3.538,6.592,1.184,426.458,0,10,50
4,4,4,remote_write,16,8,12,0.05,49077,0,3.9,-1.0,4102.310248,2516,2516,50320,2.38,4.358,28.378,1.126,467.123,0,20,105
8,8,8,remote_write,16,8,12,0.05,26855,0,7.214,-1.0,2217.758902,1389,1389,27780,2.616,5.913,75.409,1.334,522.544,0,40,198
1,1,1,remote_apply,16,8,12,0.05,72031,0,2.659,-1.0,6017.808389,3629,3629,72580,2.282,3.52,6.3,1.191,82.331,0,6,25
2,2,2,remote_apply,16,8,12,0.05,66768,0,2.867,-1.0,5581.644975,3275,3275,65500,2.318,3.8,7.986,1.213,199.703,0,12,52
4,4,4,remote_apply,16,8,12,0.05,48361,0,3.962,-1.0,4038.731267,2439,2439,48780,2.414,4.194,13.074,1.213,483.519,0,20,102
8,8,8,remote_apply,16,8,12,0.05,32456,0,5.904,-1.0,2710.05697,1636,1636,32720,2.776,6.024,59.828,1.374,454.554,0,40,202
