threads,iterations,rows,working_set_rows,input_working_set_rows,rows_per_dpa_task,window_writeback,input_materialization,input_location,input_working_set_bytes,ring_output_location,ring_output_bytes,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,serializer_work_bytes,host_elapsed_us,enqueue_elapsed_us,start_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,host_serializer_work_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors,verification_skipped
64,1,5000000,32768,32768,4,1,shared,dpa,6853,host,0,0,153,1250000,251325843,251325843,2334013,162952,77,2172030,107.68,107.68,840.155,34461179425,1504285,6892.24,0,0,0
64,1,5000000,32768,32768,4,1,shared,host,6853,host,0,0,153,1250000,251325843,251325843,2334257,161720,82,2173490,107.668,107.668,797.67,36296641716,1607909,7259.33,0,0,0
64,1,5000000,32768,32768,4,1,materialized,dpa,1122801,host,0,0,153,1250000,251325843,251325843,2624331,149335,95,2475871,95.7676,95.7676,617.752,46867872711,1730904,9373.57,0,0,0
64,1,5000000,32768,32768,4,1,materialized,host,1122801,host,0,0,153,1250000,251325843,251325843,2339568,149600,86,2190931,107.424,107.424,797.424,36307846365,1612506,7261.57,0,0,0
64,1,5000000,32768,200,4,1,materialized,dpa,6853,host,0,0,153,1250000,251325000,251325000,2063462,155887,91,1908591,121.798,121.798,913.119,31707421656,1492393,6341.48,0,0,0
64,1,5000000,32768,200,4,1,materialized,host,6853,host,0,0,153,1250000,251325000,251325000,2082600,163444,87,1920123,120.678,120.678,867.032,33392826894,1554960,6678.57,0,0,0
64,1,5000000,32768,262144,4,1,materialized,dpa,8982367,host,0,0,153,1250000,251325064,251325064,2645534,171865,89,2474543,94.9997,94.9997,580.865,49844054009,1731472,9968.81,0,0,0
64,1,5000000,32768,262144,4,1,materialized,host,8982367,host,0,0,153,1250000,251325064,251325064,2356527,152030,88,2205364,106.651,106.651,767.02,37746919098,1573972,7549.38,0,0,0
