rows_per_task,threads,iterations,rows,working_set_rows,rows_per_dpa_task,cmdq_chunks,cmdq_tasks,bytes,host_elapsed_us,host_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors
1,64,1,100000,32768,1,7,100000,5026534,118705,42.3448,1186.5,488038288,37652,4880.38,0,0
4,64,1,100000,32768,4,4,25000,5026534,49715,101.107,900.201,643252753,40274,6432.53,0,0
16,64,1,100000,32768,16,4,6250,5026534,65961,76.2046,1139.01,508384231,40057,5083.84,0,0
64,64,1,100000,32768,64,4,1563,5026534,191500,26.2482,1376.23,420755124,39051,4207.55,0,0
256,64,1,100000,32768,256,4,391,5026534,364998,13.7714,1407.56,411391613,39823,4113.92,0,0
all,64,1,100000,32768,0,4,255,5026534,382825,13.1301,1371.33,422260006,41380,4222.6,0,0
