threads,iterations,rows,working_set_rows,input_working_set_rows,rows_per_dpa_task,schedule,window_writeback,input_materialization,input_location,input_working_set_bytes,ring_output_location,ring_output_bytes,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,serializer_work_bytes,host_elapsed_us,enqueue_elapsed_us,start_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,host_serializer_work_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors,verification_skipped
190,1,5000000,100000,100000,16,static-chunked,1,materialized,host,14681284,host,0,0,1,190,1004064200,1004064200,523580,24,58,523522,1917.69,1917.69,2432.27,141180874843,1800336,28236.2,0,0,0
256,1,5000000,100000,100000,16,static-chunked,1,materialized,host,14681284,host,0,0,1,256,1004064200,1004064200,690902,33,62,690840,1453.27,1453.27,3463.04,133603064696,1637026,26720.6,0,0,0
512,1,5000000,100000,100000,16,static-chunked,1,materialized,host,14681284,host,0,0,1,512,1004064200,1004064200,552452,66,71,552380,1817.47,1817.47,7809.64,118487646829,1486270,23697.5,0,0,0
