threads,iterations,rows,cmdq_chunks,bytes,host_elapsed_us,host_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors
1,10000,200,200,100530000,3103955,32.3877,33.8752,5341790081,28460524,2.6709e+07,0,0
2,10000,200,100,100530000,1641633,61.2378,63.6932,5682047935,30108288,2.84102e+07,0,0
4,10000,200,50,100530000,969637,103.678,107.837,6712104175,35409123,3.35605e+07,0,0
8,10000,200,25,100530000,765363,131.349,136.444,10609686385,55037740,5.30484e+07,0,0
16,10000,200,13,100530000,702766,143.049,156.361,18516500798,101183593,9.25825e+07,0,0
32,10000,200,7,100530000,390414,257.496,296.203,19549175615,107110791,9.77459e+07,0,0
64,10000,200,4,100530000,211099,476.222,576.818,20077478895,107142783,1.00387e+08,0,0
