threads,iterations,rows,cmdq_chunks,bytes,host_elapsed_us,host_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors
1,10000,200,1,100530000,3038752,33.0827,33.8753,5341773259,28460470,2.67089e+07,0,0
2,10000,200,1,100530000,1602702,62.7253,63.8098,5671664351,30183692,2.83583e+07,0,0
4,10000,200,1,100530000,971781,103.449,107.622,6725556472,35976839,3.36278e+07,0,0
8,10000,200,1,100530000,803085,125.18,135.489,10684471779,56899190,5.34224e+07,0,0
16,10000,200,1,100530000,827112,121.543,148.42,19507284765,105811974,9.75364e+07,0,0
32,10000,200,1,100530000,587747,171.043,304.898,18991705965,105921233,9.49585e+07,0,0
64,10000,200,1,100530000,624194,161.056,584.273,19821301755,109619425,9.91065e+07,0,0
