threads,iterations,rows,working_set_rows,input_working_set_rows,rows_per_dpa_task,window_writeback,input_materialization,input_location,input_working_set_bytes,ring_output_location,ring_output_bytes,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,serializer_work_bytes,host_elapsed_us,enqueue_elapsed_us,start_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,host_serializer_work_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors,verification_skipped
64,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,3732539,163978,81,3570625,269.003,269.003,605.042,191173763938,2643891,38234.8,0,0,0
256,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,2559636,149226,91,2412264,392.268,392.268,2454.33,188512534818,2587503,37702.5,0,0,0
512,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,2430408,156908,89,2275455,413.126,413.126,4866.61,190141884183,2646668,38028.4,0,0,0
