threads,rows_per_task,cmdq_chunks,cmdq_tasks,host_elapsed_us,enqueue_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,dpa_throughput_mb_s,avg_dpa_cycles_per_row,mismatches
64,16,50,312500,4740710,39275,4702129,211.796,746.877,30973.8,0
128,16,50,312500,2775897,36898,2739732,361.708,1282.090,36087.5,0
256,16,50,312500,1628400,41607,1587504,616.596,2591.700,35704.1,0
512,16,50,312500,1049144,39124,1010682,957.032,5219.200,35459.3,0
