variant,threads,rows_per_task,cmdq_chunks,cmdq_tasks,host_elapsed_us,enqueue_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,dpa_throughput_mb_s,avg_dpa_cycles_per_row,mismatches
fast_row,512,4,77,1250000,1424137,148314,1277670,705.033,2327260.000,79.5225,100000
fast_row,512,16,50,312500,372722,42874,330540,2693.870,2106130.000,87.8718,100000
normal_patch_lengths,512,4,77,1250000,2457678,161941,2297771,408.542,5569.640,33228.2,0
len_upfront,512,4,77,1250000,2369017,149945,2220808,423.832,6392.680,28950.1,0
normal_patch_lengths,256,16,50,312500,1628400,41607,1587504,616.596,2591.700,35704.1,0
len_upfront,256,16,50,312500,1465965,41101,1425610,684.917,2976.810,31085.1,0
normal_patch_lengths,512,16,50,312500,1049144,39124,1010682,957.032,5219.200,35459.3,0
len_upfront,512,16,50,312500,960971,35509,926067,1044.840,6000.350,30843.1,0
