threads,iterations,rows,working_set_rows,input_working_set_rows,rows_per_dpa_task,window_writeback,input_materialization,input_location,input_working_set_bytes,ring_output_location,ring_output_bytes,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,serializer_work_bytes,host_elapsed_us,enqueue_elapsed_us,start_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,host_serializer_work_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors,verification_skipped
64,1,5000000,32768,32768,4,1,materialized,dpa,1122801,host,0,0,153,1250000,251325843,251325843,2577609,149349,88,2429114,97.5035,97.5035,634.506,45630387702,1780806,9126.08,0,0,0
64,1,5000000,32768,262144,4,1,materialized,dpa,8982367,host,0,0,153,1250000,251325064,251325064,2598959,155687,78,2444159,96.7022,96.7022,599.681,48280106150,1783218,9656.02,0,0,0
64,1,5000000,32768,32768,4,1,materialized,host,1122801,host,0,0,153,1250000,251325843,251325843,2304470,169721,79,2135732,109.06,109.06,810.447,35724408268,1793018,7144.88,0,0,0
64,1,5000000,32768,262144,4,1,materialized,host,8982367,host,0,0,153,1250000,251325064,251325064,2314482,164781,87,2150495,108.588,108.588,789.894,36653836669,1634066,7330.77,0,0,0
