ring_size,threads,iterations,rows,working_set_rows,rows_per_dpa_task,window_writeback,ring_output_bytes,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,serializer_work_bytes,host_elapsed_us,enqueue_elapsed_us,start_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,host_serializer_work_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors,verification_skipped
4k,64,200,100000,32768,4,1,4096,32,4,25000,5026534,1005306800,4101093,2825,79,4099117,1.22566,245.131,566.791,204328270273,7226869,2.04328e+06,0,0,32768
16k,64,200,100000,32768,4,1,16384,128,4,25000,5026534,1005306800,4102051,3078,83,4099964,1.22537,245.074,566.762,204338420421,7225851,2.04338e+06,0,0,32768
64k,64,200,100000,32768,4,1,65536,512,4,25000,5026534,1005306800,4102721,3231,76,4100444,1.22517,245.034,566.757,204340456191,7223450,2.0434e+06,0,0,32768
256k,64,200,100000,32768,4,1,262144,2048,4,25000,5026534,1005306800,4102331,3177,76,4100058,1.22529,245.057,566.806,204322680912,7230140,2.04323e+06,0,0,32768
1m,64,200,100000,32768,4,1,1048576,8192,4,25000,5026534,1005306800,4101705,3100,76,4099515,1.22547,245.095,566.83,204313983611,7223384,2.04314e+06,0,0,32768
4m,64,200,100000,32768,4,1,4194304,32768,4,25000,5026534,1005306800,4100979,3217,76,4098673,1.22569,245.138,566.885,204294325735,7223674,2.04294e+06,0,0,32768
16m,64,200,100000,32768,4,1,16777216,131072,4,25000,5026534,1005306800,4100740,3128,80,4098558,1.22576,245.153,566.89,204292537186,7217940,2.04293e+06,0,0,32768
64m,64,200,100000,32768,4,1,67108864,524288,4,25000,5026534,1005306800,4100857,2882,91,4098863,1.22573,245.146,566.945,204272659780,7215103,2.04273e+06,0,0,32768
