threads,iterations,rows,working_set_rows,cmdq_chunks,bytes,host_elapsed_us,host_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors
1,20,1000000,32768,123,1005303380,35129631,28.617,32.2839,56050999971,1886731,56051,0,0
2,20,1000000,32768,62,1005303380,18966007,53.0055,61.3336,59006691682,2110458,59006.7,0,0
4,20,1000000,32768,62,1005303380,11227502,89.5394,107.016,67636199806,2272237,67636.2,0,0
8,20,1000000,32768,62,1005303380,8367638,120.142,146.698,98681715601,3411119,98681.7,0,0
16,20,1000000,32768,62,1005303380,7457020,134.813,172.38,167958940938,6417272,167959,0,0
32,20,1000000,32768,62,1005303380,4584839,219.267,332.248,174283926860,6787145,174284,0,0
64,20,1000000,32768,62,1005303380,3050735,329.528,652.415,177511215897,6857664,177511,0,0
