threads,rows_per_task,cmdq_chunks,cmdq_tasks,host_elapsed_us,enqueue_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,dpa_throughput_mb_s,avg_dpa_cycles_per_row,mismatches
512,8,50,625000,1339853,84827,1256624,749.384,6449.570,28694.8,0
512,16,50,312500,940575,35201,905997,1067.500,6354.720,29123.1,0
512,32,50,156250,1206093,21249,1185169,832.493,6153.190,30076.9,0
512,64,50,78150,2091023,9788,2081350,480.178,6066.850,30505.0,0
