threads,iterations,rows,working_set_rows,input_working_set_rows,rows_per_dpa_task,schedule,window_writeback,input_materialization,input_location,input_map,input_working_set_bytes,ring_output_location,ring_partition,ring_output_bytes,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,serializer_work_bytes,host_elapsed_us,control_setup_elapsed_us,end_to_end_elapsed_us,enqueue_elapsed_us,start_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,host_serializer_work_throughput_mb_s,end_to_end_serializer_work_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors,verification_skipped
190,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,190,5020321230,5020321230,2024152,769059,2793211,25,58,2024093,2480.21,2480.21,1797.33,0,0,0,0,0,0,100000
256,1,25000000,100000,100000,16,static-chunked,0,materialized,dpa,worker-shard,14681284,dpa,per-worker,67108800,209715,1,256,5020322238,5020322238,2670823,769059,3439882,31,63,2670759,1879.69,1879.69,1459.45,0,0,0,0,0,0,100000
