threads,iterations,rows,working_set_rows,input_working_set_rows,rows_per_dpa_task,window_writeback,input_materialization,input_location,input_working_set_bytes,ring_output_location,ring_output_bytes,ring_slots,cmdq_chunks,cmdq_tasks,payload_bytes,serializer_work_bytes,host_elapsed_us,enqueue_elapsed_us,start_elapsed_us,drain_wait_us,host_payload_throughput_mb_s,host_serializer_work_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors,verification_skipped
64,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,3150131,148673,91,3003289,318.737,318.737,757.248,152748131281,1887396,30549.6,0,0,0
256,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,2556149,147606,83,2410368,392.803,392.803,2791.99,165714583228,2019944,33142.9,0,0,0
512,1,5000000,100000,100000,4,1,materialized,host,14681284,host,0,0,77,1250000,1004064200,1004064200,2461706,147681,92,2315845,407.873,407.873,5566.03,166248655866,2015852,33249.7,0,0,0
