threads,iterations,rows,working_set_rows,cmdq_chunks,bytes,host_elapsed_us,host_throughput_mb_s,dpa_throughput_mb_s,dpa_cycles_sum,dpa_cycles_max,avg_dpa_cycles_per_row,mismatches,status_errors
1,1,5000000,32768,611,251325843,31404068,8.00297,20.7079,21846131631,911869,4369.23,0,0
2,1,5000000,32768,306,251325843,18884707,13.3084,40.0336,22600365317,1046049,4520.07,0,0
4,1,5000000,32768,306,251325843,12088036,20.7913,78.4464,23067286585,1028843,4613.46,0,0
8,1,5000000,32768,306,251325843,8738776,28.7598,151.549,23880640772,948292,4776.13,0,0
16,1,5000000,32768,306,251325843,7104644,35.3749,298.533,24245830398,887875,4849.17,0,0
32,1,5000000,32768,306,251325843,6439359,39.0296,589.289,24565825590,860190,4913.17,0,0
64,1,5000000,32768,306,251325843,5978257,42.04,1167.66,24795582276,917920,4959.12,0,0
